Fon_Sentence,French_Translation
mɔ̀ jɛ́n wɛ̀,c'est absolument cela
a ná gɔ̀n,tu t'abstiendras de
mi ná gɔ̀n,vous vous abstiendrez de
ɖuɖu,manger
jɛ ɖù,manger du sel
e nyɔ a,ce n'est pas bien
a nɔ nù ahan dín,tu abuses de l'alcool
é ɖò títáfú mí wɛ̀,il abuse de moi
é ɖò títáfú mí wɛ̀,il abuse de nous
é ɖò títáfú mi wɛ̀,il abuse de vous
acɛ,pouvoir
a yí gbè,tu acceptes
mí yí gbè,nous acceptons
a yí gbè bó,acceptes-tu
mí yí gbè bó,acceptons-nous
ná kplá mí yí,de m'accompagner
e gbɛ́ xó mĭtɔ̀n,il n'a pas accepté ce qu'on a dit
un gbɛ́ xó yetɔ̀n,je n'accepte pas ce qu'ils ont dit
un gbɛ́ xó towé,je n'accepte pas ce tu dis
mi gbɛ́ xó yetɔ̀n,vous n'acceptez pas ce qu'ils ont dit
mi gbɛ́ xó tɔ̀n,vous n'acceptez pas ce qu'elle a dit
mí gbɛ́ xó tɔ̀n,nous n'acceptons pas ce qu'il a dit
mí gbɛ́ xó towé,nous n'acceptons pas ce que tu dis
e lɔ́n à,a-t-il accepté
un lɔ́n à,ai-je accepté
mi lɔ́n à,avez-vous acceptés
e nɔ̀ xó mìtɔ́n jí ă,elle n'a pas respecté notre accord
mí nɔ̀ xó mìtɔ́n jí ă,nous n'avons pas respecté notre accord
e yí gbe ná,il a accepté la proposition
un yí gbe ná,j'ai accepté la proposition
mi yí gbe ná,vous avez acceptés la proposition
é yí gbe ná à,a-t-elle accepté
mí yí gbe ná à,avons-nous acceptés
nù énɛ́ ɔ́ jló mì ă,je n'accepte pas cela
un yí wàn nú nù énɛ́ ɔ́ ă,je n'accepte pas cela
awovi wɛ,c'était un accident
awòví wɛ́ xó è,elle a eu un accident
awòví wɛ́ xó mì,nous avons eu un accident
é gán ɖ'awòvínú mɛ̀,il a échappé à un accident
mì gán ɖ'awòvínú mɛ̀,nous avons échappé à un accident
yè sɔ́ alɔ n'í,ils l'ont acclamé
yĕ xò así n'í,ils l'ont acclamé
yĕ xò aplóo nu mí,ils nous ont acclamé
yè sɔ́ alɔ nu mi,ils vous ont acclamé
yĕ xò así nu mi,ils vous ont acclamé
un xò aplóo nu mí,je l'ai acclamé
mɛjitɔ ce lɛ,mes parents
hun ɔ kɔn wɛ,l'autobus
e kplɛ́ mì,elle m'a accompagné
mi na kpl'ɛ́ dó,vous l'accompagnerez
un na kplá wé yì,je vais l'accompagner à
é na kplá wé yì,elle va l'accompagner à
mì na kplá wé yì,nous allons l'accompagner à
kpɛɖé,un peu
ɖó mì,escortes-moi
é xwé d'é,elle l'a accompagné
mì xwé d'é,nous l'avons accompagné
jὲxàmí yintɔn,ma promise
yɔnnú,femme
ɖὲkpε twé,ta beauté
nù ɖébú ɖéba aɖé ɔ,tout ce que tu désires
sὲ mεn sí cé,mon âme soeur
kpé n'í,accompagne-le
é nyɔ́ ɖɛkpɛ̀ káká,il est d'une beauté grandiose
mí nyɔ́ ɖɛkpɛ̀ káká,nous sommes d'une beauté grandiose
é nyɔ́ ɖɛkpɛ̀ káká bɔ kpɛɖé jɛ́ jí,elle est d'une beauté accomplie
e nyɔ amɔ a ɖo na ɖɔ,d'accord mais tu dois lui dire
ɛɛn,d'accord
e nyɔ,d'accord
mĭ ɖò alɔ ɖokpó jí,nous sommes d'accord
nɔ towé yi gbe a,ta mère est d'accord
un ɖò é tɔ́n jí,je suis d'accord avec lui
un ɖò é mitɔ́n jí,je suis d'accord avec vous
ye ɖo gbe kpɔ,ils se mettent d'accord
hùn wá glí ɖò tɔ̀ tó,la pirogue est venue accoster à la rive
e jì vĭ ganjí à,l'accouchement s'est-il bien passé
aja mɛ tɔn hɔ́n,elle a accouché
é jɛ te sɔ̀,elle a accouché hier
súnnu,garçon
yɔnnúvi,fille
e jì vì súnnu ɖokpó,elle a accouché d'un garçon
é wɛ́ é jì vì nú mì,c'est elle qui m'a accouchée
fítɛ́ é jì vì ɔ́ ɖè,où a-t-elle accouché
avun slɛ́ gŏ,les chiens se sont accouplés
é dlɔ́n dó mì,elle a accouru vers moi
e flɛ́ wá dɔ́,elle s'est détaché et est resté accroché
e zún fán mì,elle s'est accroché à moi
mi zún fán,vous vous êtes accrochés à lui
kplá nù élɔ́ ɖ'átín kɔ̀,accroche cela à l'arbre
e kplá awu tɔn dó só kɔ̀,il a accroché son habit au bout d'un piquet
e fá,il est accueillant
e kísí mì ă,elle ne m'a pas embrassé
e nɔ́ yí mɛ ganjí,il est très accueillante
é xɛ́ jònɔ́ tɔ̀n,il l'a accueilli
e xɛ́ jŏ mì,elle m'a accueilli
e yí jònɔ́ cè,elle m'a accueilli
mi gɔn hwɛ do miɖee,cessez de vous accuser l'un l'autre
azɔ̀ tɔ́n myá nukún n'í,elle est concentrée sur son travail
azɔ̀ mitɔ́n myá nukún nu mi,vous êtes concentrés sur votre travail
é nɔ́ dó gàn dó azɔ̀ tɔ́n wú,elle s'acharne à son travail
mi nɔ́ dó gàn dó azɔ̀ mitɔ́n wú,vous vous acharnez sur votre travail
mi myá nukún dó azɔ wú,acharnez-vous à la besogne
é ɖ'àzɔ̀ wá wɛ̀ myámyá,elle travaille avec acharnement
mi ɖ'àzɔ̀ wá wɛ̀ myámyá,vous travaillez avec acharnement
yovózɛn xɔ gbé wɛ un wă,je viens pour acheter des oranges
nu akwɛ enɛ ɔ un nyi xixɔtɔ a,à ce prix-là je ne suis pas acheteur
xixɔtɔ,acheteur
"un na sa mɔto ce, a nyi xixɔtɔ","je veux vendre ma voiture, es-tu acheteur"
e fó azɔ̆ tɔ̀n,il a achevé son travail
yovozɛn gbodoklówĕ wɛ̀,c'est une orange acide
akpa tɔn,sa promesse
akpa mìtɔn,notre promesse
akpa cé,ma promesse
un ɖè akpa cé n'ì,j'ai honoré ma promesse envers lui
a ɖè akpa towé nú mì,tu as honoré ta promesse envers moi
a ɖè akpa towé n'ì,tu as honoré promesse envers elle
mì ɖè akpa mìtɔn n'i,nous avons honoré notre promesse envers lui
mi ɖè akpa mitɔn nú mi,vous avez honoré votre promesse envers nous
mi ɖè akpa mitɔn n'ì,vous avez honoré votre promesse envers elle
wù yá nya élɔ́,cet homme est très actif
wù yá vi élɔ́,cet enfant est très actif
wù yá yɔnnúvi élɔ́,cette fille est très active
e blo nu ɖagbe,il a fait une bonne action
e blo nu ɖagbe,ils ont fait une bonne action
mi wà nŭ ɖagbe,vous avez fait une bonne action
un sá heelú wè,je rejette sur toi la responsabilité de ta mauvaise action
zinzan nyanya,mauvaise action
ayì é jí mĭ ɖè din ɔ́,à l'heure actuelle
e gézé kpɛɖé din mɛ̀,actuellement il est un peu à son aise
ta ɖò fínfɛ́n mí wɛ̀,j'ai mal à la tête actuellement
é sù gbe ɖé,adieu
hundotɔ lɛ,les voyageurs
mɛ yétɔn lɛ,leurs familles
e dín nú tɛ́nkpɔ́n tɔ̀n,il a été admis à son examen
e dín nú tɛ́nkpɔ́n tɔ̀n,elle a été admise à son examen
mí dín nú tɛ́nkpɔ́n mítɔ̀n,nous avons été admis à notre examen
nù énɛ́ ɔ́ jló mì ă,je n'admets pas cela
un yí gbe ná ă,je n'admets pas cela
vì cé,mon enfant
agba hwlɛ́nhwlɛ́n,concours
agba hwlɛ́nhwlɛ́n towé,ton concours
agba hwlɛ́nhwlɛ́n mitɔ̀n,votre concours
un kp'ɛ̀,je l'admire
é kp'ɛ̀,ils l'admirent
é kp'ɛ̀,elles l'admirent
mi kp'ɛ̀,vous l'admirez
mi kp'ɛ̀,admirez-le
ɖ'azɔ̀ towé wú,pour ton travail
ɖ'azɔ̀ mítɔ́n wú,pour notre travail
ɖó azɔ̀ tɔ́n wú,pour son travail
ɖó azɔ̀ mitɔ́n wú,pour votre travail
ɖó azɔ̀ ɔ́ wú,pour le travail
ɖo azɔ̀ towé wú,pour ton travail
ɖo azɔ̀ mítɔ́n wú,pour notre travail
un yí wan n'í,je l'aime
un yí wan nu wé,je t'aime
é yí wan n'í,il l'aime
é yí wan n'í,elle l'aime
mí yí wan n'í,nous l'aimons
mi yí wan n'í,vous l'aimez
é yí wan n'í,ils l'admirent
vì élɔ́,cet enfant
un nɔ sɛn we,je t'adore
é nɔ sɛn mi,elle m'adore
é nɔ sɛn mi,elles m'adorent
un hɛn  tɔn bu,j'ai perdu son
un hɛn  tɔn bu,j'ai perdu sa
un hɛn  towé bu,j'ai perdu ton
un hɛn  towé bu,j'ai perdu tes
un hɛn  mítɔn bu,j'ai perdu nos
un hɛn  mitɔn bu,j'ai perdu vos
é hɛn  tɔn bu,il a perdu sa
é hɛn  towé bu,il a perdu ton
é hɛn  towé bu,il a perdu tes
é hɛn  mítɔn bu,il perdu nos
é hɛn  mitɔn bu,il a perdu vos
é hɛn  tɔn bu,elle a perdu sa
é hɛn  towé bu,elle a perdu ton
é hɛn  towé bu,elle a perdu tes
é hɛn  mítɔn bu,elle perdu nos
é hɛn  mitɔn bu,elle a perdu vos
alɔ towé jlɔ,tu es adroite
alɔ tɔn jlɔ,elle est adroite
alɔ mítɔn jlɔ,nous sommes adroites
alɔ mitɔn jlɔ,vous êtes adroites
azɔwatɔ alɔjijlɔnɔ,un ouvrier adroit
é d'áfɔ gbĕ,elle a commis l'adultère
mí d'áfɔ gbĕ,nous avons commis l'adultère
é kpé xá mɛ ɖĕvo'sì,il a commis un adultère
jɔhɔnmɛhunɖotɛn,aéroport
jɔhɔnmɛhunɖotɛn,un aéroport
jɔmɛhun tiin ɖokpo ɖo kutɔnu,il y a un aéroport à cotonou
é kan wè,c'est ton affaire
ɖó nù ɖé wú,pour une affaire
nyɛ ɖokpónɔ́ wɛ́ kàn,c'est personnel
é sɔ́ xó ɔ́ d'ásí n'í,il lui ai confié l'affaire
un sɔ́ xó ɔ́ d'ásí nu mí,je vous ai confié l'affaire
é sɔ́ xó ɔ́ d'ásí nu mí,elle vous a confié l'affaire
mí sɔ́ xó ɔ́ d'ásí nu mi,nous vous avons confié l'affaire
mi sɔ́ xó ɔ́ d'ásí nu mí,vous nous avez confié l'affaire
xó ɔ́ ján,l'affaire est compliquée
xó jɛ́n wɛ̀,cette affaire est vraiment compliquée
xɔ ɔ húhɔ́,la maison s'est effondrée
adɔ hɛn,il est affamé
xɛvi lɛ,les oiseaux
xovɛ sin mì,je suis affamé
wanyiyi ɔ bo wli nu agbaza ɖesu wɛ,l'amour est aussi une affection de la peau
xa yɛhwe,pries
nùɖíɖí,la foi
nùɖíɖí towé,ta foi
nùɖíɖí mitɔn,votre foi
é vɛ́ nú mì,ça me fait mal
ayi mítɔn gba dó,on s'est affolé
ayi mitɔn gba dó,vous vous êtes affolés
e tún kan n'í,il l'a libéré
e tún kan n'í,elle l'a détaché
e tún kan n'í,elles l'ont libéré
mí tún kan n'í,nous l'avons libéré
mi tún kan n'í,vous l'avez libéré
mɛwi afɔtɔn,quinze africains
e nɔ́ dó tagba nú mɛ,elle est agaçante
aɖù cé jí,j'ai les dents agacées
e ɖò tagba dó nú mí wɛ̀,elle m'agace
a yín mɛxó nu mì,tu es plus âgé que moi
é yín mɛxó nu mì,il est plus âgé que moi
é yín mɛxó nu mì,ils sont plus âgé que nous
mi yín mɛxó nu mí,vous êtes plus âgés que nous
xwe tantɔn,huit ans
un nyi mɛxo nu wé,je suis plus âgé que toi
un nyi mɛxo n'i,je suis plus âgé que lui
un nyi mɛxo n'i,je suis plus âgé qu'elle
a nyi mɛxo n'i,tu es plus âgé que lui
a nyi mɛxo n'i,tu es plus âgé qu'elle
mí nyi mɛxo n'i,nous somme plus agés que lui
mi nyi mɛxo n'i,vous êtes plus agés que lui
xwe e ɖo ta tɔn sɔ hwè ă,il est assez âgé
xwe nabi mi ɖo,quel âge avez-vous
e jɛ kpò,elle s'est agenouillée
e jɛ kpò,elle se sont agenouillées
mi jɛ kpò,vous vous êtes agenouillés
e jɛ kpo,elle s'est agenouillée
e jɛ kpo,elles se sont agenouillées
mi jɛ kpo,vous vous êtes agenouillés
e jɛ kpòli,elle s'est agenouillée
e jɛ kpòli,elles se sont agenouillées
mi jɛ kpòli,vous vous êtes agenouillés
e jɛ kpoli,elle s'est agenouillée
e jɛ kpoli,elles se sont agenouillées
mi jɛ kpoli,vous vous êtes agenouillés
e jɛ kpòlí,elle s'est agenouillée
e jɛ kpòlí,elles se sont agenouillées
mi jɛ kpòlí,vous vous êtes agenouillés
e jɛ kpolí,elle s'est agenouillée
e jɛ kpolí,elles se sont agenouillées
mi jɛ kpolí,vous vous êtes agenouillés
e jɛ kpò lí,elle s'est agenouillée
e jɛ kpò lí,elles se sont agenouillées
mi jɛ kpò lí,vous vous êtes agenouillés
e jɛ kpò li,elle s'est agenouillée
e jɛ kpò li,elles se sont agenouillées
mi jɛ kpò li,vous vous êtes agenouillés
e jɛ kpo lí,elle s'est agenouillée
e jɛ kpo lí,elles se sont agenouillées
mi jɛ kpo lí,vous vous êtes agenouillés
azɔ̀n ɔ ɖò syɛ́nsyɛ́n wɛ̀,la maladie s'aggrave
e bí,elle est agile
mí bí,nous sommes agiles
a bí,tu es agile
e bló ganjí,ils ont bien agi
e bló ganjí,elles ont bien agi
a bló ganjí,elle a bien agi
mi bló ganjí,vous avez bien agi
é jɔ làn,il n'agit pas comme un homme
etɛ́ wú wɛ̀,de quoi s'agit-il
mɛxoxo nɔ wa mɔ a,un adulte n'agit pas de la sorte
xwè alɔkpa tɛ́ lɛ́ wɛ,de quelles fêtes s'agit-il
to ɔ,le pays
yè ɖú gbligbli,ils se sont agités avec force
zàn mɛ́ ɔ́,cette nuit
é ɖò kúsu xo wɛ̀,il se débat à l'agonie
mì nà dó xɔ ɔ jí,nous allons agrandir la maison
e nɔ́ dɔn mɛ dín,ils sont de rapport très agréable
e nɔ́ dɔn mɛ dín,elles sont de rapport très agréable
é nyɔ́ ɖò nukún yétɔ́n mɛ̀,cela leur est agréable
é nyɔ́ ɖò nukún mitɔ́n mɛ̀,cela vous est agréable
gbadé,maïs
víví,est délicieux
etɛ wutu a nyla hun sɔ mɔ,pourquoi es-tu si agressive
é zún fan atín ɔ́,il s'est agrippé à l'arbre
un ɖò nù xɔ́ tó wɛ̀,je suis aux aguets
ké,ah
kóoyì,ah
yĕgè,ah
kpódó,avec
alɔ gɔ,aide
alɔ gɔ towé,ton aide
alɔ gɔ mitɔ́n,votre aide
un ɖo alɔ gɔ tɔn bi e wɛ,je lui demande son aide
un ɖo alɔ gɔ mitɔ́n bi e wɛ,je demande votre aide
é ɖo alɔ gɔ tɔn bi e wɛ,il lui demande son aide
é ɖo alɔ gɔ mitɔ́n bi e wɛ,il demande votre aide
aklunɔ,seigneur
d'álɔ mì,aides-moi
do álɔ mì,aides-moi
"ɖo xwe gbe ɔ, e nɔ do alɔ nu mɛjitɔ yétɔn lɛ","à la maison, ils aident leur parents"
"ɖo xwe gbe ɔ, e nɔ do alɔ nu mɛjitɔ yétɔn lɛ","à la maison, elles aident leur parents"
"ɖo xwe gbe ɔ, mì nɔ do alɔ nu mɛjitɔ mìtɔn lɛ","à la maison, nous aidons nos parents"
e nɔ do alɔ nu mɛjitɔ tɔn lɛ,il aide ses parents
măwŭ,dieu
mì ɖo na do alɔ nu nɔ mìtɔn,nous devons aider notre mère
é ɖo na do alɔ nu nɔ yétɔn,ils doivent aider leur mère
é ɖo na do alɔ nu nɔ tɔn,elle doit aider sa mère
mi ɖo na do alɔ nu tɔ mitɔn,vous devez aider votre père
é ɖo na do alɔ nu tɔ tɔn,il doit aider sa père
mi gɔ alɔ nu mi,aidez-moi
vi,enfants
wà d'álɔ mì kpɛɖé,viens m'aider un peu
yĕgè,aïe
tɔ́gbó mitɔ́n lɛ́,vos aïeux
tɔ́gbó tɔ́n lɛ́,ses aïeux
gbe tɔn wínní,sa voix est aiguë
nyɛ̀ví,l'aiguille
fítɛ́ a sɔ́  ɔ́ ɖó,où as-tu mis
e ɖo jivi ɔ gan wɛ,il aiguise le couteau
un ɖo jivi lɛ gan wɛ,j'aiguise les couteaux
e vlɔ́n awà,il a déplié les ailes
fi ɖevo wɛ nuvivɛ ɔ ɖe,le problème est ailleurs
e fá xomɛ̀,elle est aimable
a fá xomɛ̀,tu es aimable
mi fá xomɛ̀,vous êtes aimable
mɛ ɖagbe wɛ̀,il est aimable
wàn tɔ́n nɔ́ yí mɛ,il est aimable
mɛɖubomi ce wɛ̀,c'est mon bien-aimé
vivɛna ce,mon aimé
vivɛná cè,ma bien-aimé
a yí wàn ná à,tu aimes
a yi wan nu mi,tu m'aimes
bo yi wan nu mɛjitɔ tɔn lɛ,et aimait ses parents
e yi wan nu,il aime
e yi wan nu we,il t'aime
etɛ wutu e na yi wan nu mɛɖe,pourquoi s'aimer
jesu,Jésus
kɔkú,Koku
nù nyɔ́ nukún cé mɛ̀,j'aime
mi ní nɔ́ mɔ̀ miɖéé gbɔ́,aimez-vous les uns les autres
nù tówé nyɔ́ nukún cé mɛ,je t'aime
un yi wan nu i,je l'ai aimé
un yí wàn nú wè,je t'aime
un yi wan nu ye,je les aime
ye yi wan nu mi,ils nous aiment
ye yi wan nu we,ils t'aiment
ye yi wan nu ye ɖe tawun,elles s'aiment bien
ye yi wan nu yeɖee bo lɛ yi wan nu vi yetɔn lɛ ɖesu,ils s'aiment et ils aiment leurs enfants
a nyí mɛxó nú mì,tu es mon aîné
fofó cé wɛ̀,c'est mon frère aîné
fofo ɖaxo,frère aîné
fofó ɖaxo,frère aîné
fófó ɖaxo,frère aîné
mɛxo ce wɛ a nyi,tu es mon aîné
nɔví e nɛgbé un jɛ ɔ́,mon frère aîné
nukɔngbɛví,l'ainé
nukɔngbɛví ɔ́ nyi,l'ainé s'appelle
un jɛ̀ nɛgbé tɔ̀n,il est mon aîné
a na bló mɔ̆,tu feras ainsi
bo bló lĕ,fais ainsi
đ'ání wú wɛ̀ a bló mɔ̌,pourquoi as-tu fait ainsi
é gán jɛ́ wú ɖɔ̀ mɔ̀ jɛ̀n cí,il a assuré que c'est ainsi
é kɔ́n nɔ́ bló mɔ̆,mais on fait ainsi
e má nyí mɔ̆ à ɔ́,s'il n'en est pas ainsi
e nɔ́ mɔ̆ xɔ xwe wè,il resta ainsi pendant deux ans
e nyí mɔ̆ hŭn,s'il en était ainsi
lĕ un nɔ bló gbɔ́n ɔ́ nɛ́,c'est ainsi que je fais
lèé cí é nɛ́,c'est ainsi
mɔ̀ jɛ́n wɛ̀,c'est ainsi
mɔ̀ ká wɛ̀,c'est ainsi
mɔ̆ wɛ̀,c'est ainsi
mɛ e ka na bló mɔ̀ lé ɔ́ é ná mɔ́ gbɛ̀,celui qui fera ainsi trouvera la vie
mĭ mɛwi lɛ́ ɔ́ mì nɔ́ wà mɔ̆,nous les africains nous faisons ainsi
nù nyí mɔ̆,c'est ainsi
é kpɔ́n mì xaàn,il m'a regardé d'un air méchant
é kpɔ́n mì xaàn,ils m'ont regardé d'un air méchant
mi ɖò jɔhɔn nu,vous êtes en plein courant d'air
ayi ce j'àyĭ,je suis à l'aise
é ɖo vuvo mɛ̀,il est à l'aise
e vò sɔ̀ mɔ̆ ă,ils ne sont pas tellement à l'aise
é ɖo vuvo mɛ̀,elle est à l'aise
e vò sɔ̀ mɔ̆ ă,elle ne sont pas tellement à l'aise
e má fá nɛ́,ce n'est pas aisé
d'é mέ nú mì,ajoute-moi un supplément
é sɔ́ kwékwé we dó ná mì xú ná,elle m'a ajouté deux bananes par dessus le marché
gɔ̆ kpɛɖé d'é wú,ajoute un peu
xó ɖè sɔ́ kpò ă,il n'y a rien à ajouter
yèɖé nùsúnnú ɔ́,ajoute des ingrédients dans la sauce
é ɖò zɛ̆nzɛ̆n ganjí à,est-ce bien ajusté
e syɔ́ lyŏ,elle a préparé l'akassa le passant à la vapeur
é nɔ́ nu ahan díngàn,il boit trop d'alcool
un ɖo ahan syɛnsyɛn kɔfu ɖokpo nu wɛ,je bois un verre d'alcool
un na nu sin a un na lɛ nu ahanta ɖesu a,je ne boirai ni eau ni alcool
un gbɔ̀n akpá n'í,je l'ai alerté
gbɛtɔ́ ɖokpo,une personne
anɔ ná vì,allaiter un enfant
un ɖò anɔ ná vì cé wɛ̀,j'allaite mon enfant
mi ɖò anɔ ná vì mitɔ́n wɛ̀,vous allaitez vos enfants
mi vɛ́ nɔ kpɔn alí ganji,regardez bien la route
mì nì vɛ́ nɔ kpɔn alí ganji,regardons bien la route
a ɖo ɖagbe à,comment vas-tu
a ɖo gangi à,est-ce que tu vas bien
a fɔ́n à,comment vas-tu aujourd'hui
é ɖo ɖagbe à,comment vas-t-il
é ɖo gangi à,est-ce qu'il va bien
é fɔ́n à,comment vas-t-il aujourd'hui
a na wa xɔ atinsinsɛn ɖokpo à,est-ce que tu vas acheter un fruit
é nă yì,il ira
é nă yì,elle ira
a yì gɔ̀n tɔ́n à,es-tu allé chez lui
afɔ jɛ́n un wa ɖó té,je ne vais pas tarder
akɔ ce,ma famille
ye ni ma yi o,qu'ils ne s'en aillent pas
alɔganví élɔ́,cet anneau
asu towé,ton mari
asi towé ɖo gangi à,est-ce que ta femme va bien
avun towé na ɖu mì,ton chien va me mordre
azɔ̀ wà gbé á xwé,tu vas au travail
azɔ̀ wà gbé é xwé,elle va au travail
azɔ̀ wà gbé mi xwé,vous allez au travail
azɔ̀ wà gbé é xwé à,est-ce qu'il va au travail
azɔ̀ wà gbé é xwé à,est-ce qu'elle va au travail
azɔ̀ wà gbé mì xwé à,est-ce que nous allons au travail
bɛ̆ hwiɖéé yì,va-t-en
bo yì,va-t-en
un na xɔ jɛ,je vais acheter du sel
é na xɔ jɛ,ils vont acheter du sel
é na xɔ jɛ,elles vont acheter du sel
mi na xɔ jɛ,vous allez acheter du sel
é ja,il arrive
é ja,elle arrive
mì ja,nous arrivons
un ko ja,j'arrive
é ko ja,ils arrivent déjà
é ko ja,elles arrivent déjà
mi ko ja,vous arrivez déjà
é ja xɔ jɛ,il veut acheter du sel
é ja xɔ jɛ,elle veut acheter du sel
mì ja xɔ jɛ,nous voulons acheter du sel
e ɖo ganji à,il va bien
e jɛ́ mì ganjí,cela me va très bien
é ná yì,il ira
é ná yì,elle ira
e xwé,il va à
e xwé,elle va à
é xwé,ils vont à
é xwé,elles vont à
é yì,il est allé à
é yì,ils sont allé à
é yì,elle est allée à
é yì,elles sont allées à
toxomɛ̀,en ville
é yi toxomɛ̀,ils sont allés en ville
é yi toxomɛ̀,elles sont allées en ville
mì xwé,nous allons à
mì yì,nous sommes allés à
mì yì toxomɛ̀,nous sommes allés en ville
mi xwé,vous allez à
mi yì,vous êtes allés à
mi yi toxomɛ̀,nous êtes allés en ville
ɛɛn un ɖo ganji,oui je vais bien
un jlo na yi a,je ne veux pas y aller
un jlo na yi ă,je ne veux pas y aller
gɔn tɔn,chez elle
gɔn mitɔn,chez vous
eo un jlo na yi gɔn tɔn ă,non je ne veux pas aller chez lui
etɛ́ é na sɔ́ dó wá ná,que vas-t-il en faire
etɛ́ mí na sɔ́ dó wá ná,qu'allons nous en faire
