abă	bras
afɔkpasúnsúnnú	essuie-pieds
afɔkú	echec
afɔkú	défaveur
afɔkú	disgrâce
afɔsú	orteil
afɔtínxú	péroné
afɔtuntè	résistance
afɔtuntè	décision
afɔví	orteil
afɔɖiɖè	enjambée
afɔɖiɖè	pas
agà	en haut
agàlìlè	débauche
agadá	plaie
agadá	prodigue
aganmà	caméléon
agàsá	crabe
agàságò	crabe
agàságò	cadenas
agaví	enfant adultérin
agaví	bâtard
agbadé	maïs
agbajá	civière
agbajá	cartouchière
agbají	véranda
agbají	cour intérieure
agbăkò	malheur
agbăkò	imprévu
agbàlyá	fonte
agbàlyákwín	boulet
agbàn	bagage
agbàn	colis
agbàn	fardeau
agbàn	affaires
agbàn	marchandise
agbàn	matériel
agbanhɛnnú	porte-bagages
agbanhɛntín	poteau
agbanhɛntín	poutre
agbanɖuɖù	festin
agbanɖuɖù	noce
agbasá	véranda
agbawungbà	ostensiblement
agbawungbà	publiquement
agbayikún	graine maïs
agbáɖá	boubou
agbè	ecureuil
agbégì	menuisier
agbetawoyó	mer
agbetè	hyène
agbidì	terre noire
agbigbì	sorte nuit
agbĭn	sorte escargot
agblà	mâchoire
agblaká	mâchoire
agblò	grande cour
agblɔnyinyà	descente
agbofún	bélier
agbojlakà	galipette
agbolàn	viande de mouton
agidigbájá	très démesuré
agídígbó	guimbarde
aglàn	mâchoire
aglanká	mâchoire
aglŭzà	porc
aglŭzà	cochon
aglúzàkpó	porcherie
aglúzasá	jambon
aglúzasì	truie
aglúzasísá	porc castré
aglúzasú	verrat
aglúzasúkwéɖé	mâle castré
aglúzaví	porcelet
aglúzàwutó	porcherie
aglwí	cuiller bois
aglŏbèsé	grenouille
agŭ	igname pilée
aguduwíì	incompétent
aguduwíì	illettré
agùn	foule
agùn	peuple
agùn	assemblée
agùn	communauté
agunglá	tamtam
agwĭn	escargot
agɔnmà	cocotier
agɔntín	rônier
ahàn	boisson
ahanhunnú	tire-bouchon
ahanhunnú	décapsuleur
ahanmúmɛ	enivrement
ahanmúmɛ	ivresse
ahannudíngan	ivrognerie
ahannumú	ivresse
ahannuxwé	buvette
ahannuxɔsá	buvette
ahannuxɔsá	débit boissons
ahanviví	boisson sucrée
ahizì	manigance
ahizì	manœuvre
ahóo	tant pis
ahwàn	guerre
ahwàn	armée
ahwàn	groupe
ahwàn	troupeau
ahwanfunfun	guerre
ahwanfunfun	bataille
ahwanfunnú	arme de guerre
ahwanfɔkpà	chaussure militaire
ahwangán	militaire
ahwangbomɛ	attaque armée
ahwangɔnù	groupe guerriers
ahwànhŭn	navire guerre
ahwànhŭn	avion militaire
ahwanhúngán	officier
ahwanwù	tenue militaire
ahwɛmú	fraîche
ahɔnká	boîte crânienne
ahɔnmɛlalà	scolopendre
ajakà	souris
ajakaja	souricière
ajakaví	souriceau
ajalalasá	salle de rassemblement
ajalalazén	jarre trouée
ajaxwí	passoire
vìjìjì	enfantement
ajì	tactique de jeu
ajiglokwín	testicule
ajijá	hérisson
ajijá	porc-épic
ajijì	imprévu
ajijì	subitement
ajikwín	graine
ajinakú	eléphant
ajitò	planche de jeu
ajò	épargne
ajo	fraude
ajo	vol
ajo	arnaque
ajojijà	voler
ajɔnú	objet de joie
ajɔnŭ	marchandise
ajɔxanú	condiments
aká	grande faim
akán	charbon
akánmú	potasse
akánnújì	pâte levée
akasá	pâte de maïs fermenté
aklákú	hippopotame
aklántà	étagère
aklasú	vautour
aklasú	charognard
akló	barque moderne
aklúzù	croix
aklúzulixò	chemin de croix
akóbá	malheur
akóbá	affaire
akodokwín	poing
akpá	à côté
akpá	partie
akpà	promesse
akpà	vœu
akpà	plaie
akpà	blessure
akpádídó	émission de voeux
akpádídó	formulation de voeux
akpádídó	promesse
akpakpà	émoi
akpakpà	apaisement
akpakpà	tressaillement
akpáwle	perdrix
akpán	bouillie
akpatá	tortue
logozò	tortue
akpaví	carpe
akpavú	enfant prodigue
akpé	brillant
akpé	éclatant
akplă	gaule
akpò	colère
akpo	poche
akpodokwín	poing
akpólà	sabre
akpomɛdukwí	mouchoir
akpónyagidì	homme très rusé
akpótín	maille de bois
akpɔdidó	énervements
akɔjɛgbè	jour
akɔmlámlá	louanges
akɔnyinyi	pari
akɔta	tribu
akɔta	peuple
akɔwé	lettré
alàká	joue
alànnŭ	infamie
alànnúwíwa	commettre des méchancetés
alasí	enquête
alasídídó	enquête
alasídídó	demande de renseignements
alì	chemin
aliklán	carrefour
alĭn	foie
alĭn	houe
alĭn	bêche
alinkàn	ceinture
alisá	plaisanterie
alisátɛn	endroit de relaxation
alisátɛn	endroit de repos
alisáxó	plaisanterie
alita	sur le chemin
alitanù	outils de voyages
alitasìn	eau du voyageur
alixíxá	chemin tortueux
alixò	le chemin
alixosì	nom fille
alò	cure-dents
alŏ	ou bien
alŏkàn	téléphone
alomà	plante amère
alɔbá	plastique
alɔdidó	secours
alɔdó	secours
alɔdudó	secours
alɔfún	poils des bras
alɔgàn	montre
alɔganví	bague
alɔganví	anneau
alɔgbá	bredouille
alɔgogwè	poignée
alɔgólìgŏlì	le
alɔjí	à portée
alɔkpákpá	paume des mains
alɔkpalɔkpà	différentes sortes
alɔkpalɔkpà	différentes manières
alɔkpalɔkpà	différents types
alɔkpáxwì	creux
alɔkpénùjí	pouvoir
alɔmawlíví	enfant illégitime
alɔvíɖòtoé	auriculaire
alɔwlísì	femme mariée chrétiennement
alɔwliwlí	mariage chrétien catholique
alɔɖómɛjí	avoir du support
alɔɖómɛjí	avoir la main sur soi
alɔɖótè	être prêt
alɛxò	incantations
amăgàtín	manguier
amágavivó	mangue mûre
jakpatà	vipère
amasìn	la tisanne
amasìn	remède
amasìn	médicament
amasinnú	médicament
amasinslă	purgatif
amasinxwé	pharmacie
amì	huile
amidàn	couleuvre
amifún	ecume palme
amigbá	bidon d'huile
amijá	résidu de palme
amisin	morve
amŭ	moustique
anɔblanú	soutien-gorge
anɔkwín	jeune sein
anɔnùvínú	mamelon
anɔvínú	mamelon
anɔsín	lait
anɔwlinú	soutien-gorge
anɔwlíwú	soutien-gorge
anɔɖíɖé	sevrage
apóstolù	apôtre
aságá	enjambée
asì	epouse
asibyɔnú	la dot
asidida	mariage
asigegédídá	polygamie
asigegéɖíɖó	polygamie
asísì	co-épouse
asú	epoux
asúdídáhwénú	femme
asúká	courageux
asúsì	femme d'un mari polygame
atá	haricots fris
atagán	oncle ainé du père
atakín	piment
takín	piment
atakíngò	bouteille à piment
atakínsín	liquide pimentée
atakínsótó	boisson à piment
atakún	poivre
atán	salive
atàn	vin palme
atángbán	crachoir
atangò	vin de palme
ataví	oncle
atín	arbre
atínfló	ecorce
atínkàn	liane
atínkwín	graine
atínmá	feuillage
atínsá	sous l'arbre
atínsìn	sève
atínta	la souche
atíntanu	la souche
atínví	bûchette
atínvíyɔywɛ	brindille
atínvú	arbuste
atoké	chauve-souris
avajà	terasse
avaligbé	pâturage
avĭ	pleurs
avĭ	larmes
avĭhàn	chant de tristesse
avilelé	pleurs de souffrance
avivì	frayeur extrême
avivɔfún	chaire de poule
avivɔgblénú	fébrifuge
avivɔhwenu	saison froide
avivɔsùn	mois
aviyaviyà	pleurnichements
aviyiyà	pleurs
avoká	avocat
avɔfɔkpà	pantoufle
avɔfɔkpà	espadrille
avɔkàn	fil de pagne
avɔkàn	coton
avɔkanfún	ouate
avɔkanfúntín	cotonnier
avɔkanɖíɖé	récolte du coton
avɔkíjà	guenille
avɔkpó	pièce
avɔkpò	tissu
avɔlinlɔn	tissage
avɔlinlɔn	tricotage
avɔlɔnnú	métier à tissu
avɔnuvínu	extrémité du pagne
avɔnyinya	blanchissage
avɔtitɔ	couture
avɔvunvún	guenille
avɔwlanwlan	tissu rayé plusieurs couleurs
awà	bras
awă	joie
awăjíjè	enjaillement
awakanmɛkú	découragement
awàságbè	ecureuil
awaɖonú	motif de joie
awífínfán	miaulement
awii	chat
awiisí	chatte
awĭnyà	pierre
awĭnyà	caillou
awìví	chaton
awlinmɛnú	hypocrisie
awŏvì	démon
awŏvì	mal
awŏvì	tentateur
awŏvì	malheur
awù	habit
awù	vêtement
awugbó	bouton
awùkíjà	guenille
awuvúnvún	guenille
awɔnlìn	nigeria
awɔnnu	museau
awɔnnufún	barbe
awɔnnután	moustache
awɔntín	nez
axáywé	gari très fin
axì	marché
axijijɛ	jour du marché
axitó	les abords du marché
axixwlégánnú	faire le marché
axó	cri
axoáɖì	ainsi soit-il
axwá	cri
axwá	appel au secours
axwálokwété	tourterelle
ayá	peigne
ayì	pensées
ayì	esprit
ayì	idée
ayĭkùgban	terre
ayididá	mesquinerie
ayidindán	coeur troublé
ayìdìndán	tremblement de terre
ayidò	trou dans la terre
ayiglaglá	audace
ayiglaglá	hardiesse
ayìhizihízí	diffamation
ayìhizihízí	dissimulation
ayìhizihízínɔn	diffamateur
ayìhizihízínɔn	dissimulateur
ayihún	jeu
ayihún	divertissement
ayihún	chemin terre
ayihún	véhicule terrestre
ayihúndá	jeu
ayihúndá	plaisanterie
ayihúndánu	jouet
ayihunxó	plaisanterie
ayihunxó	blague
ayijàyĭ	paix
ayijàyĭ	sérénité
ayijɛdò	paix
ayijɛdò	confiance
ayikàn	artère
ayikàn	feuilles après récolte
ayikún	haricots
ayikún	fève
ayìkúngban	terre
ayikúnkpínkpán	purée
ayimajɛdò	inquiétude
ayimajɛdò	angoisse
ayìsúndò	caniveau
ayìsúndò	égout
ayisɔnmɔ	la fois passée
ayisɔnmɔ	récemment
ayisɔnmɔ	dernièrement
ayixà	réflexion
ayixà	esprit
ayìzízá	balayage
ayiɖagbeɖiɖó	esprit de bonté
ayìɖóhwɛɖó	arc-en-ciel
ayomà	oignon
ayomása	oignon
ayɔnù	yoruba
azadodó	chéchia
azají	grenier
azănɖókpo	un jour
azànɖíɖó	délai
azavà	paillote
azĕ	maléfice
azĕ	sorcellerie
azĕ	magie noire
azé	maléfice
azé	sorcellerie
azé	magie noire
azĕtɔ	sorcier
azétô	sorcier
aziín	arachide
aziínfíntín	moutarde
aziínfló	peau d'arachide
aziinmí	huile d'arachide
aziínmimɛ	arachide grillée
aziínsísɔ	arachide grillée
aziínsusɔ	arachide grillée
aziíntófó	arachide vide
aziíntófwé	arachide vide
azìn	oeuf
azinfifɛ	arachide grillée
azinkpò	chaise
azizà	génie
azizɔ	fumée
azizɔ	vapeur
azizɔ	nuage
azizɔlì	cheminée
azwì	lièvre
azwì	lapin
azwiví	lapineau
azɔ	travail
azɔbatɔ	chercheur de travail
azɔfúngbá	tabatière
azɔfúnfún	fumer
azɔgba	boîte à tabac
azɔlì	cheminée
azɔngbigbɔ	guérison
azɔngblemá	plante médicinale
azɔngblemaá	plante médicinale
azɔngblenú	remède
azɔngbó	pamplemousse
azɔngɔgwè	sapotille
azɔnjijɛ	tomber malade
azɔnkatikatì	tétanos
azɔnunu	fumer
azɔnví	enfant maladif
azɔwanú	outil de travail
azɔɖuɖu	tabac à chiquer
aɖawùn	ornement
aɖawùn	originalité
aɖawùn	extraordinaire
aɖawùnɖíɖó	ornementation
aɖawùnɖíɖó	belle oeuvre
aɖĭ	savon
aɖidán	très venimeux
aɖìfún	mousse de savon
aɖìgá	flèche empoisonnée
aɖìhún	contre-poison
aɖìká	boîte à savon
aɖimú	ordalie
aɖimɛví	enfant chéri
aɖísí	droite
aɖisimin	côté droit
aɖiví	enfant chéri
aɖò	urine
aɖŭ	dents
aɖùgánnú	aiguiser les dents
aɖukanɖukàn	grincement de dents
aɖùkún	grincement dents
aɖùkúnɖúɖú	grincement dents
aɖùsó	molaire
aɖùsúnsún	perte des dents
aɖɔtwé	vessie
aɖɔwé	héron
adanxo	brutalité
adɔgo ɖaxo	gros ventre
agban kpikpεn	valises lourdes
agban kpikpεn lε	les valises lourdes
agbaza wewe	peau blanche
agbaza wiwi	peau noire
aglan	menton
aglan	mâchoire
ahan fifa	boisson fraîche
ahan syεnsyεn	boisson alcoolisée
aji	affaire
aji ɖagbe	bonne affaire
akanma	lits
bibɔ	une branche
ali gblegble	mauvaises routes
ali nyi ɖokpo	il n'y pas qu'une seule voie dans
alɔ xixa	une crochue
alɔ ɖisi	droite
amisa	église
amisa	messe
amɔ	mais
amɔ	fromage
asi	femme
asicé	ma femme
asitché	ma femme
asi gege	épouses
asi lε	les épouses
asi	épouses
asu	mari
atin	arbuste épineux
atin ɖagbe	bon arbre
avɔvunvun	tissu déchirés
avɔyɔyɔ	tissu neuf
awii atɔɔn	cinq chats
awii gege	plusieurs chats
awii lε	les chats
awii mitɔn	notre chat
awii mitɔn	votre chat
awii yetɔn	leur chat
awii ɖe	un chat
awii ɖe lε	quelques chats
awii ɖokpoɖokpo	chaque
awɔntin gaga	long nez
awɔntin xixa	nez crochu
ayixomεnyinyɔnɔ	bienfaiteur
ayihun gidigidi	jeux violents
ayihɔngbe ɔ	le lendemain
ayijijε	une chute
ayikungban kpikpo	une terre stérile
azan gaga	longues journées
azan nyanya	mauvais journées
azan ɖagbe	bonnes journées
aziin sisɔ	arachides grillées
aziin ɖiɖa	arachides bouillies
azin ɖiɖa	oeufs bouillis
azinsatɔ	vendeur d'oeufs
azinzɔnnɔ	malade
azɔlε	les devoirs
azɔvɔ	le travail est fini
azɔmεvi ajotɔ	écolier voleur
azɔmεvi ɖagbe	bon écolier
azɔn huzu	la maladie a changé
azɔnnabi	combien de fois
azɔn syεn	la maladie est délicate
azɔn vɔ	la maladie est partie
azɔxɔ ayizεn	il
aɖi	le savon
ablo kpεɖe à	as-tu fait peu
ayi bεnεε kpɔn à	es-tu déjà allé au bénin
byɔ eyε	demandes-lui
ahan	boisson
xɔ azin	achètes des oeufs
nɔ yi gbe ganji	réponds-bien
asanu kpεɖe à	as-tu vendu peu
miɖondo fongbe à	parlez-vous le fon
su hɔn ɔ	fermes la porte
tà zogbεn ɔ	allume la lampe
atwi tuwun à	est-ce que le connais
awazɔ kpεɖe à	as-tu travaillé peu
awà gangi à	est-ce que tu es bien arrivé
awà gangi à	est-ce que tu es bien arrivée
miwà gangi à	est-ce que vous êtes bien arrivés
miwà gangi à	est-ce que vous êtes bien arrivées
ɖo akɔnkpinkpan	aies du courage
aɖo cεnji à	as-tu monnaie
aɖo finε à	es-tu là
aɖo gangi à	est-ce que tu vas bien
aɖo kwε à	as-tu de l'argent
aɖo kεɖε à	es-tu en forme
miɖo akɔnkpinkpan	ailez du courage
miɖo cεnji à	avez-vous la monnaie
miɖo finε à	êtes-vous là
miɖo gangi à	est-ce que vous allez bien
miɖo kwε à	avez-vous de l'argent
miɖo kεɖε à	êtes-vous en forme
miɖo xwe gbe à	est-ce que vous êtes à la maison
aɖo xwe gbe à	est-ce que tu es à la maison
aɖo ɖagbe à	vas-tu bien
miɖo ɖagbe à	allez-vous bien
acε gege	pleine de grâces
adan xo	terreur
adingban wε	ce n'est pas vrai
agban kpikpεn wε	ce sont de lourds colis
agban lε kpεn	les colis sont lourds
agbomεnu wε	originaire d'abomey
agbomεnu	originaire d'abomey
ajinaku ɔ klo	l'éléphant est gros
ajotɔ wε nyi	c'est un voleur
ajɔ towe ɖie	voici ton cadeau
akɔta mitɔn lε bi	toute notre famille
akɔta mitɔn lε bi	toute votre famille
alagaa ɔ vɔ	le quai est désert
aligbɔntɔ lε ă	les passants sont rares
alɔ tɔn jlɔ ă	il est maladroit
alɔ ɖe ɔ	l'autre main
alɔmyɔnɔ	gaucher
alɔvi tɔn ɖo vivε wε	sa main lui fait mal
amlɔ azɔn	maladie du sommeil
amlɔgɔ nɔ	somnolant
amɔ gbɔ sukpɔ ă	mais in n'y a pas beaucoup de moutons
amɔ gege kwiji tawun	beaucoup de fromages sont très sales
amɔ wε	c'est du fromage
nukplɔnmεtɔ	enseignant
nukplɔnmεtɔ	professeur
amɔ nukplɔnmεtɔ wε nyi	mais c'est un professeur
amɔ nukplɔnmεtɔ wε nyi	mais c'est un enseignant
tii	thé
amɔ wɔn bi	mais oublies tout
wulεkpa hwε	salle de bain
étè wε zɔn bɔ	pourquoi est-ce que
anɔsinlinfinnɔ	lait maternel
asi ɖo xwe gbe	la femme est à la maison
asi nabi à ɖo	combien de femmes as-tu
asu tɔn wε	c'est son mari
atɔn	trois
atɔɔn	cinq
atɔngɔ	troisième
atɔɔngɔ	cinquième
avivɔ ɖo sisɔ wε	il tremble
awu xoxo	vieux habit
awu	habit
ayihun gidigidi ɖe lε	des jeux brutaux
ayihundanu mitɔn lε bi	tous nos jouets
ayihundanu mitɔn lε bi	tous vos jouets
azan su	le jour est arrivé
azan tantɔn gbe gudo ɔ	après huit jours
azan tεnwe lε ɖie	voilà les sept jours
azan yi atɔn	ça fait un moment
azan yi atɔn	ça fait un bail
azan yi atɔn	il y a trois jours
azan yɔeyɔe ɖe yi	quelques jours sont passés
azan ɖokpoɖokpo	chaque jour
azin ɖe à	il n'y a pas d'oeufs
azinkpo ɔ syεn	le meuble est solide
azinkpo ɔ syεn	la chaise est solide
azinzɔnnɔ ɔ hwla	le malade est arrivé
azinzɔnnɔ ɔ hεn nukiko	le malade garde le sourire
azinzɔnnɔ ɔ ku	le malade est mort
azinzɔnnɔ ɔ syεn wu	le malade reste solide
azinzɔnnɔ ɔ vɔ hlɔnhlɔn	le malade est faible
azinzɔnnɔ ɔ ɖo jiɖe	le malade reste confiant
azwilan ɖe	il y a la viande de lapin
azɔ towe	ton travail
azɔ tε anɔ wa	quel travail fais-tu
azɔmε mitɔn klo à	votre école est-elle grande
azɔmε mitɔn klo à	est-ce que votre école est grande
azɔmεvi	écolier
azɔn gbɔ bi	la maladie a completement disparu
azɔwatɔ	ouvrier
azɔwatɔ alɔjijlɔnɔ	ouvrier
azɔxɔ	bâtiment de travail
azɔxɔ	classe
azɔxɔ wε	c'est un bâtiment de travail
azɔxɔ wε	c'est une classe
xomε ɖo vo	le ventre est vide
é ɖo asi su kpɔ	il a beaucoup de femmes
à ɖo asi su kpɔ	tu as beaucoup de femmes
ùn ɖo asi su kpɔ	j'ai beaucoup de femmes
à ɖe jiɖe ɖo wutu tɔn à	est-ce que tu lui fais confiance
é gblé wu	il est blessé
mi gbɔ azɔn azinzɔnnɔ ɔ	soignez le malade
gbɔ azɔn azinzɔnnɔ ɔ	soignes le malade
atinkεn	médicaments
mi gbɔ azɔn azinzɔnnɔ ɔ kpodo atinkεn ɖetε lε kpo	soignez le malade avec quels médicaments
gbɔ azɔn azinzɔnnɔ ɔ kpodo atinkεn ɖetε lε kpo	soignes le malade avec quels médicaments
do gɔ ɔ ɖo agboɖe	remplis la bouteille à moitié
mido gɔ ɔ ɖo agboɖe	remplissez la bouteille à moitié
hεn tɔn	sors avec
àhεn ɔ ànan tɔn	tu peux sortir
mihεn ɔ minan tɔn	vous pouvez sortir
àhεn ɔ hwlεn togun towe	sauve ton peuple si tu peux
mihεn ɔ mihwlεn togun miton	sauvez votre peuple si vous pouvez
mihεn ɔ mihwlεn togun miton	sauvez vos peuples si vous pouvez
man yovozɔn enε lε xa xɔntɔn towe lε	partages ces oranges avec tes camarades
mi man yovozɔn enε lε xa xɔntɔn mitɔn lε	partagez ces oranges avec vo camarades
éjlo wé anan man yovozɔn enε lε xa xɔntɔn towe lε à	veux-tu partager ces oranges avec tes camarades
éjlo mi minan man yovozɔn enε lε xa xɔntɔn mitɔn lε à	voulez-vous partager ces oranges avec vos camarades
atinsinsεn nyanya ɖokpo ɖo ɖagbe ɖe lε mε	il y a un mauvais bois dans les bons
à mɔn akwε towe à	est-ce que tu as retrouvé ton argent
à mɔ jε mε à	as-tu compris
à mɔ nù jε mε à	as-tu compris
mɔ sukpɔ tobutobu ɖo xixa wε ɔ à	vois-tu le nombre de mouches qui s'attroupent
gbe mε towe lε	les potes
gbe mε towe lε	les amis
hεn xasun ɔ	portes le panier
kpεɖe	un peu
kplekple	réunion
anan ɖo kplekple sín tεnmε à	est-ce que assisteras à réunion
sɔ wema xixa ɖokpo	choisis un quelque chose à lire
sɔ wema xixa ɖokpo	choisis un livre
gɔn kpo ɖɔ xo kpεɖe	viens chez moi et pourrons discuter
xɔ atinsinsεn ɖokpo à	paies et emmènes du bois
xa ɖokpo sɔ yi kanweko	comptes de un à cent
ɖaxo	grand
xa ɖaxo ɔ ji	montes sur le grand
rɔbu	robe
yi rɔbu towe kpɔn	prends ta robe
nɔ à	estce que fais du
xomε sinsin	énervement
nɔ mε	restes dedans
kafε	café
a nù kafε zanzan à	as-tu pris du café le matin
mi nù kafε zanzan à	avez-vous pris du café le matin
axivivε	chereté
nɔ xo nɔ ɖu	achètes à manger
nɔ ɖamlɔ ɖɔ hwebinu	dors tout le temps
nɔ ɖo wezun	cours vite
alokan	téléphone
flansegbe	français
doglensigbe	anglais
ànɔ do flansegbe wε à	parles-tu français
ànɔ doglensigbe wε à	parles-tu anglais
minɔ do flansegbe wε à	parlez-vous français
minɔ doglensigbe wε à	parlez-vous anglais
hwenuxo	conte
hwenuxo	histoire
àsé hwenuxo gudo tɔn à	as-tu entendu la dernière histoire
misé hwenuxo gudo tɔn à	avez-vous entendu la dernière histoire
àsé hwenuxo gudo tɔn à	as-tu entendu le dernier conte
misé hwenuxo gudo tɔn à	avez-vous entendu le dernier conte
ɖayi ɔ	auparavant
toxomε	ville
zemijan	taxi-moto
ùn sixu gɔn alɔma wli	je ne peux pas ne pas marier
a sixu wa aklunɔzangbe à	est-ce que tu peux venir dimanche
mi sixu wa aklunɔzangbe à	est-ce que tu peux venir dimanche
su tɔn wε	c'est son totême
xwegbe	maison
xwe gbe	maison
wamamɔnɔ	pauvres
nukiko	que du rire
nukiko	mort de rire
nukiko	léger sourire
é hwɛn ăn	ce nest pas drôle
awé tché wa nún mín năn nún ahăn	très cher frère vient on prend un pot
tăɖúnɔn	un fou
agɔnkɛ	noix de coco
agɔnkɛ	coco
éhwɛn tawoun	très rigolo
éhwɛn tawoun	très drôle
éhwɛn ɖéébou a	pas du tout drôle
éhwɛn ɖéébou a	pas du tout rigolo
mɛnwí	un noir
mɛnwí	un homme noir
mɛnwíwi	un noir
mɛnwíwi	un homme noir
yóvo	un blanc
yóvo	un homme blanc
bokɔnɔn	marabout
ajotɔ	voleur
ajotɔ	escroc
ajotɔ	bandit
gléssi	un paysan
wékpɛn	un miroir
màwu ní fɔǹ mí	à demain
màwu ní fɔǹ mí	bonne nuit
hwénúsú	il est temps
hwénúsú	l'heure a sonné
xonton towé	ton ami
oh clounon	oh mon dieu
oh klounon	oh mon dieu
évivi ɖín	c'est trop doux
aviyiya	pleurs et larmes
étɛ fún ɖɔ e ɖé	qu'est-ce qu'il raconte
étɛ fún ɖɔ e ɖé	qu'est-ce qu'elle raconte
aluwɛmɛ	tristesse
aluwɛmɛ	mélancolie
aluwɛmɛ	chagrin
un kisi núwe	je t'embrasse
un kisi núwe	un bisou
akoba	étonnement
akoba	oh malheur
akoba	c'est la catastrophe
asanhún	que de la bonne musique
asanhún	j'écoute de la musique
asanhún	musique
akɔwe	savant
akɔwe	savante
akɔwe	jeune intellectuel
akɔwe	jeune intellectuelle
un ɖo bɛncemɛ	je suis dans mes états
un ɖo bɛncemɛ	je suis en forme
un ɖo bɛncemɛ	je suis de bonne humeur
akwɛnɔ	riche
akwɛnɔ	fortuné
un ɖo tamɛ gba wɛ	je réfléchis
tamɛ gbigba	réflexion
tamɛ gbigba	cassetête
sɛvo tɛwɛ	c'est quoi le plan
sɛvo tɛwɛ	c'est quoi le problème
sɛvo tɛwɛ	c'est quoi le souci
sɛvo tɛwɛ	tu joues à quoi
agbɔ kpemi	je suis fatigué
agbɔ kpemi	je suis fatiguée
agbɔ kpemi	je suis épuisé
agbɔ kpemi	je suis épuisée
agbɔ kpemi	je suis essoufflé
agbɔ kpemi	je suis essoufflée
agbɔ kpemi	je suis las
agbɔ kpemi	je suis lasse
agbɔ kpemi	je suis abattu
agbɔ kpemi	je suis abattue
étɛ nin	c'est quoi ça
gǎn bi ɔ	boss
gǎn bi ɔ	chef
gǎn bi ɔ	patron
kpon eyɛ	regarde-moi celui-là
kpon eyɛ	regarde-moi celle-là
mi kpon eyɛ	regardez-moi celui-là
mi kpon eyɛ	regardez-moi celle-là
kpon ta ni	regarde-moi sa tête
mi kpon ta ni	regarde-moi sa tête
hwiɖé	méfies-toi
hwiɖé	attention fais gaffe
mi miɖé	méfiez-vous
mi miɖé	attention faîtes gaffe
é nyɔn númi ǎ	je suis indisposé
é nyɔn númi ǎ	je suis indisposée
é nyɔn númi ǎ	je suis malade
é nyɔn númi ǎ	je suis déprimé
é nyɔn númi ǎ	je suis déprimée
é nyɔn númi ǎ	je ne vais pas bien
é nyɔn ni ǎ	il est indisposé
é nyɔn ni ǎ	elle est indisposée
é nyɔn ni ǎ	il est malade
é nyɔn ni ǎ	elle est malade
é nyɔn ni ǎ	il est déprimé
é nyɔn ni ǎ	elle est déprimée
é nyɔn ni ǎ	il ne va pas bien
é nyɔn ni ǎ	elle ne va pas bien
é nyɔn núyé ǎ	ils sont indisposés
é nyɔn núyé ǎ	elles sont indisposées
é nyɔn núyé ǎ	ils sont malades
é nyɔn núyé ǎ	elles sont malades
é nyɔn núyé ǎ	ils sont déprimés
é nyɔn núyé ǎ	elles sont déprimées
é nyɔn núyé ǎ	ils ne vont pas bien
é nyɔn núyé ǎ	elles ne vont pas bien
